Date,Open,High,Low,Close,Adj Close,Volume
2022-01-01,1.30800000,1.38000000,1.30600000,1.38000000,1.38000000,69007607.50000000
2022-01-02,1.37900000,1.39100000,1.34200000,1.37700000,1.37700000,81011860.40000000
2022-01-03,1.37800000,1.37800000,1.31000000,1.31900000,1.31900000,87155825.90000000
2022-01-04,1.31900000,1.35200000,1.29500000,1.30900000,1.30900000,94479305.90000000
2022-01-05,1.31000000,1.35300000,1.19300000,1.23000000,1.23000000,158740088.20000000
2022-01-06,1.23000000,1.29700000,1.18600000,1.28000000,1.28000000,175754407.60000000
2022-01-07,1.27900000,1.28500000,1.18900000,1.21000000,1.21000000,209806013.20000000
2022-01-08,1.20900000,1.25400000,1.12400000,1.18100000,1.18100000,169730473.68000000
2022-01-09,1.18200000,1.20600000,1.14700000,1.17000000,1.17000000,114093699.40000000
2022-01-10,1.17000000,1.18100000,1.06900000,1.12300000,1.12300000,189250644.14000000
2022-01-11,1.12300000,1.19600000,1.12200000,1.18700000,1.18700000,115267098.70000000
2022-01-12,1.18800000,1.31400000,1.18600000,1.31200000,1.31200000,145608592.70000000
2022-01-13,1.31200000,1.35400000,1.22700000,1.23300000,1.23300000,179029543.60000000
2022-01-14,1.23200000,1.30900000,1.22000000,1.29200000,1.29200000,143281596.50000000
2022-01-15,1.29300000,1.31900000,1.25100000,1.29100000,1.29100000,80421836.40000000
2022-01-16,1.29200000,1.42200000,1.28600000,1.41000000,1.41000000,247977037.40000000
2022-01-17,1.41100000,1.60700000,1.38600000,1.60300000,1.60300000,545675409.10000000
2022-01-18,1.60200000,1.63800000,1.41100000,1.45800000,1.45800000,455949108.30000000
2022-01-19,1.45800000,1.53400000,1.32600000,1.33700000,1.33700000,329948716.40000000
2022-01-20,1.33600000,1.42700000,1.25100000,1.25900000,1.25900000,261063307.30000000
2022-01-21,1.25900000,1.28200000,1.10100000,1.12000000,1.12000000,408519522.40000000
2022-01-22,1.12000000,1.15500000,0.91700000,1.07100000,1.07100000,554287709.12000000
2022-01-23,1.07100000,1.17000000,1.05100000,1.12400000,1.12400000,257147931.50000000
2022-01-24,1.12400000,1.12500000,0.95100000,1.06500000,1.06500000,437410320.00000000
2022-01-25,1.06600000,1.07400000,0.99100000,1.04300000,1.04300000,218828333.30000000
2022-01-26,1.04300000,1.15700000,1.02200000,1.07700000,1.07700000,336503954.90000000
2022-01-27,1.07800000,1.08000000,1.00400000,1.04200000,1.04200000,184762461.80000000
2022-01-28,1.04200000,1.05900000,1.00800000,1.04800000,1.04800000,137690073.10000000
2022-01-29,1.04900000,1.08400000,1.03700000,1.05900000,1.05900000,89531278.40000000
2022-01-30,1.05900000,1.07700000,1.02400000,1.03500000,1.03500000,72352160.10000000
2022-01-31,1.03500000,1.06000000,1.00600000,1.05100000,1.05100000,101218950.10000000
2022-02-01,1.05200000,1.09600000,1.03400000,1.09600000,1.09600000,124526330.30000000
2022-02-02,1.09600000,1.10300000,1.02200000,1.02700000,1.02700000,126857788.70000000
2022-02-03,1.02700000,1.06200000,1.01600000,1.06100000,1.06100000,98542208.50000000
2022-02-04,1.06100000,1.13900000,1.04500000,1.13800000,1.13800000,135205051.60000000
2022-02-05,1.13800000,1.17800000,1.09700000,1.12500000,1.12500000,152710784.30000000
2022-02-06,1.12500000,1.15000000,1.09700000,1.14300000,1.14300000,107099317.00000000
2022-02-07,1.14200000,1.20900000,1.12500000,1.19900000,1.19900000,267801841.60000000
2022-02-08,1.19800000,1.26300000,1.13300000,1.17600000,1.17600000,271657090.80000000
2022-02-09,1.17600000,1.21500000,1.15200000,1.19500000,1.19500000,137109784.20000000
2022-02-10,1.19400000,1.22500000,1.14300000,1.15000000,1.15000000,183604520.10000000
2022-02-11,1.15000000,1.16400000,1.06800000,1.07900000,1.07900000,131818725.20000000
2022-02-12,1.07900000,1.09200000,1.02900000,1.05900000,1.05900000,149173437.20000000
2022-02-13,1.05800000,1.07600000,1.03200000,1.04200000,1.04200000,99247994.00000000
2022-02-14,1.04300000,1.05500000,1.01800000,1.04900000,1.04900000,138982742.30000000
2022-02-15,1.05000000,1.11500000,1.04900000,1.10700000,1.10700000,153934616.30000000
2022-02-16,1.10800000,1.11200000,1.06600000,1.08200000,1.08200000,100925929.70000000
2022-02-17,1.08300000,1.09400000,1.00800000,1.02000000,1.02000000,114535761.90000000
2022-02-18,1.01900000,1.04300000,0.98300000,0.99500000,0.99500000,133614248.40000000
2022-02-19,0.99600000,1.01900000,0.97300000,0.99600000,0.99600000,92102940.70000000
2022-02-20,0.99700000,0.99800000,0.91900000,0.93100000,0.93100000,156774619.10000000
2022-02-21,0.93100000,0.99300000,0.85100000,0.85600000,0.85600000,283488504.31000000
2022-02-22,0.85600000,0.89700000,0.81300000,0.88800000,0.88800000,264842040.57000000
2022-02-23,0.88800000,0.96000000,0.86300000,0.86600000,0.86600000,237719675.90000000
2022-02-24,0.86600000,0.89900000,0.74600000,0.85300000,0.85300000,560130978.58000000
2022-02-25,0.85200000,0.91000000,0.82300000,0.89800000,0.89800000,210840757.40000000
2022-02-26,0.89800000,0.93000000,0.88100000,0.88700000,0.88700000,142052119.70000000
2022-02-27,0.88600000,0.91500000,0.83200000,0.85600000,0.85600000,162004634.90000000
2022-02-28,0.85700000,0.97000000,0.84200000,0.96200000,0.96200000,227929558.70000000
2022-03-01,0.96200000,1.01100000,0.93900000,0.96300000,0.96300000,234764266.60000000
2022-03-02,0.96400000,0.97700000,0.92700000,0.93900000,0.93900000,149491898.80000000
2022-03-03,0.93800000,0.94600000,0.88300000,0.90300000,0.90300000,114772747.90000000
2022-03-04,0.90200000,0.90300000,0.82600000,0.84400000,0.84400000,147015719.30000000
2022-03-05,0.84400000,0.88300000,0.81800000,0.86400000,0.86400000,78739554.50000000
2022-03-06,0.86500000,0.87200000,0.81900000,0.82300000,0.82300000,76546559.40000000
2022-03-07,0.82200000,0.84700000,0.77700000,0.79300000,0.79300000,132873670.60000000
2022-03-08,0.79300000,0.82100000,0.78700000,0.80200000,0.80200000,124187499.50000000
2022-03-09,0.80200000,0.86300000,0.79900000,0.84900000,0.84900000,114971836.50000000
2022-03-10,0.84900000,0.85400000,0.78500000,0.80700000,0.80700000,115081098.30000000
2022-03-11,0.80600000,0.81900000,0.78200000,0.78800000,0.78800000,101514757.70000000
2022-03-12,0.78800000,0.80200000,0.78600000,0.78900000,0.78900000,50466434.40000000
